Wed. Apr. 23, 2014             LANDSAT 5                 Time: 10:54
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L11102026            Path/Row: 183 / 033

L0R Reference Image: L51MTI1003285080100_HDF.141131544
Acquisition Date: Oct 12, 2003

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
183   033   2000-08-24


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1830330002   39.349018   22.932737    41.000      -1.434     0.450    -1.489     0.221
1830330003   38.168316   23.901654   258.000      -3.914     1.188    -4.049     0.558
1830330004   39.334572   24.325132   165.329       1.566    -3.350     2.070    -3.067
1830330006   38.838896   23.427950   145.887       3.837    -2.919     4.245    -2.284
1830330008   38.960861   23.359062   155.308       0.304    -1.461     0.527    -1.396
1830330009   38.280219   23.890676   259.281       3.780     0.638     3.634     1.223
1830330010   38.207747   23.825458   487.420      -1.022     3.081    -1.491     2.881
1830330011   38.344577   22.326288    93.265      -3.090    -6.542    -2.027    -6.943
1830330012   38.520418   23.690395   220.894       0.015    -2.334     0.381    -2.303
1830330013   38.834983   24.378440    43.000      -2.635     2.328    -2.964     1.888
1830330014   39.292979   23.953810    57.470      -0.932     3.234    -1.423     3.050
1830330015   39.149932   23.881521    54.011      -1.493    -1.705    -1.209    -1.917
1830330016   38.862304   23.340588   735.010      -2.372     0.445    -2.410     0.069
1830330017   39.598250   22.914842   155.944       4.281     6.060     3.285     6.647
1830330018   38.070281   23.995219    48.498       1.766    -1.290     1.950    -0.997
1830330019   38.635434   24.109582   259.419      -0.259    -0.990    -0.099    -1.018
1830330020   39.538088   22.956822   451.037      -5.292     1.157    -5.405     0.322
1830330021   38.064448   23.815831   331.003      -0.446    -1.057    -0.273    -1.114
1830330022   39.338029   22.826618   395.741      -0.078    -1.288     0.121    -1.284
1830330023   38.392374   23.090415   131.948       0.637     6.779    -0.435     6.793
1830330025   38.847174   24.349297    45.481      -3.929     1.774    -4.157     1.138
1830330026   38.910541   22.615628    38.169      -1.716    -4.681    -0.966    -4.891
