==============================================================================
==============================================================================
Wed. Apr. 23 2014                  LANDSAT 5                       Time: 16:01
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404236709_00033                          Path / Row - 183 / 33
Reference Image: L51MTI1003285080100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1830330014   39.82390     22.72761     0.00     -0.10     0.10     1 
1830330015   39.82335     22.76404     0.04     -0.21     0.21     1 
1830330089   39.79877     22.72697     0.08     -0.17     0.19     1 
1830330090   39.79823     22.76340     0.02     -0.09     0.09     1 
1830330091   39.79767     22.79983    -0.13     -0.04     0.13     1 
1830330092   39.79710     22.83626    -0.08     -0.09     0.12     1 
1830330165   39.77310     22.76276     0.02     -0.02     0.03     1 
1830330166   39.77254     22.79917     0.10      0.01     0.10     1 
1830330167   39.77197     22.83559    -0.01      0.00     0.01     1 
1830330239   39.74852     22.72572     0.13      0.05     0.14     1 
1830330240   39.74797     22.76212     0.03     -0.04     0.05     1 
1830330241   39.74741     22.79852     0.10      0.04     0.11     1 
1830330242   39.74685     22.83492     0.01     -0.05     0.05     1 
1830330314   39.72339     22.72509     0.01      0.02     0.02     1 
1830330315   39.72285     22.76148     0.06     -0.03     0.07     1 
1830330316   39.72229     22.79787     0.12     -0.05     0.14     1 
1830330317   39.72172     22.83425     0.01     -0.02     0.02     1 
1830330388   39.69880     22.68809     0.03     -0.02     0.03     1 
1830330389   39.69827     22.72447     0.10     -0.00     0.10     1 
1830330390   39.69772     22.76084     0.02     -0.02     0.03     1 
1830330391   39.69716     22.79722     0.01     -0.03     0.04     1 
1830330392   39.69659     22.83359    -0.11     -0.02     0.11     1 
1830330393   39.69601     22.86996    -0.01      0.09     0.09     1 
1830330465   39.67259     22.76020     0.06      0.05     0.08     1 
1830330466   39.67204     22.79656     0.00     -0.04     0.04     1 
1830330467   39.67147     22.83292    -0.07      0.02     0.07     1 
1830330468   39.67089     22.86928    -0.05      0.02     0.05     1 
1830330538   39.64854     22.68687     0.10     -0.15     0.18     1 
1830330540   39.64747     22.75957     0.03      0.04     0.05     1 
1830330541   39.64691     22.79591     0.08     -0.01     0.08     1 
1830330542   39.64634     22.83226    -0.04     -0.02     0.05     1 
1830330543   39.64576     22.86860    -0.08     -0.01     0.08     1 
1830330613   39.62342     22.68626     0.07     -0.04     0.08     1 
1830330615   39.62234     22.75893     0.08     -0.03     0.08     1 
1830330616   39.62178     22.79526     0.01     -0.01     0.02     1 
1830330617   39.62122     22.83160    -0.14     -0.05     0.15     1 
1830330618   39.62064     22.86793    -0.01     -0.09     0.09     1 
1830330619   39.62005     22.90426    -0.03      0.07     0.08     1 
1830330689   39.59776     22.72197     0.09     -0.00     0.09     1 
1830330690   39.59721     22.75829     0.14     -0.04     0.14     1 
1830330691   39.59666     22.79461     0.02     -0.04     0.05     1 
1830330692   39.59609     22.83093    -0.11     -0.10     0.15     1 
1830330693   39.59551     22.86725    -0.02     -0.10     0.11     1 
1830330694   39.59492     22.90357     0.06     -0.02     0.07     1 
1830330765   39.57209     22.75766     0.08     -0.09     0.12     1 
1830330766   39.57153     22.79397     0.05     -0.06     0.08     1 
1830330767   39.57096     22.83027    -0.04     -0.07     0.08     1 
1830330768   39.57039     22.86658    -0.02     -0.09     0.09     1 
1830330769   39.56980     22.90288     0.05     -0.01     0.05     1 
1830330770   39.56920     22.93919     0.02      0.03     0.03     1 
1830330771   39.56858     22.97549     0.24     -0.10     0.26     1 
1830330841   39.54640     22.79332     0.10      0.00     0.10     1 
1830330842   39.54584     22.82961     0.20     -0.00     0.20     1 
1830330843   39.54526     22.86591     0.05     -0.01     0.05     1 
1830330844   39.54467     22.90220     0.04     -0.04     0.06     1 
1830330845   39.54407     22.93849     0.08     -0.04     0.09     1 
